Epoch: [0][2400/2688], lr: 0.01000	Time 1.081 (1.135)	Data 0.000 (0.001)	Loss 4.7895 (4.9776)	Prec@1 6.250 (1.799)	Prec@5 12.500 (7.731)
Epoch: [0][2440/2688], lr: 0.01000	Time 1.052 (1.134)	Data 0.000 (0.001)	Loss 4.7497 (4.9753)	Prec@1 9.375 (1.827)	Prec@5 12.500 (7.800)
Epoch: [0][2480/2688], lr: 0.01000	Time 1.038 (1.133)	Data 0.000 (0.001)	Loss 4.7385 (4.9729)	Prec@1 3.125 (1.841)	Prec@5 12.500 (7.851)
Epoch: [0][2520/2688], lr: 0.01000	Time 1.123 (1.132)	Data 0.000 (0.001)	Loss 4.7485 (4.9704)	Prec@1 3.125 (1.869)	Prec@5 9.375 (7.931)
Epoch: [0][2560/2688], lr: 0.01000	Time 1.127 (1.132)	Data 0.000 (0.001)	Loss 4.6909 (4.9688)	Prec@1 6.250 (1.879)	Prec@5 18.750 (7.977)
Epoch: [0][2600/2688], lr: 0.01000	Time 1.084 (1.131)	Data 0.000 (0.001)	Loss 4.8680 (4.9671)	Prec@1 6.250 (1.895)	Prec@5 6.250 (8.035)
Epoch: [0][2640/2688], lr: 0.01000	Time 1.099 (1.130)	Data 0.000 (0.001)	Loss 4.8015 (4.9650)	Prec@1 6.250 (1.928)	Prec@5 9.375 (8.095)
Epoch: [0][2680/2688], lr: 0.01000	Time 1.038 (1.130)	Data 0.000 (0.001)	Loss 4.3633 (4.9625)	Prec@1 15.625 (1.958)	Prec@5 31.250 (8.165)
Test: [40/361]	Time 0.329 (0.415)	Loss 4.9395 (4.9880)	Loss1 4.9395 (4.9880)	Loss2 0.1717 (0.1913)	Prec@1 0.000 (1.677)	Prec@5 9.375 (8.918)
Test: [80/361]	Time 0.338 (0.381)	Loss 4.8989 (5.0068)	Loss1 4.8989 (5.0068)	Loss2 0.2159 (0.1900)	Prec@1 0.000 (1.505)	Prec@5 21.875 (8.912)
Test: [120/361]	Time 0.379 (0.372)	Loss 5.0346 (5.0086)	Loss1 5.0346 (5.0086)	Loss2 0.2060 (0.1903)	Prec@1 0.000 (1.730)	Prec@5 3.125 (9.194)
Test: [160/361]	Time 0.425 (0.368)	Loss 4.7436 (4.9987)	Loss1 4.7436 (4.9987)	Loss2 0.1779 (0.1912)	Prec@1 0.000 (1.844)	Prec@5 18.750 (9.336)
Test: [200/361]	Time 0.350 (0.366)	Loss 5.3120 (4.9932)	Loss1 5.3120 (4.9932)	Loss2 0.1915 (0.1902)	Prec@1 3.125 (1.772)	Prec@5 9.375 (9.437)
Test: [240/361]	Time 0.416 (0.365)	Loss 5.0170 (4.9934)	Loss1 5.0170 (4.9934)	Loss2 0.1883 (0.1892)	Prec@1 3.125 (1.867)	Prec@5 6.250 (9.582)
Test: [280/361]	Time 0.329 (0.365)	Loss 5.2759 (5.0005)	Loss1 5.2759 (5.0005)	Loss2 0.1565 (0.1890)	Prec@1 3.125 (1.790)	Prec@5 9.375 (9.586)
Test: [320/361]	Time 0.424 (0.364)	Loss 4.9913 (4.9964)	Loss1 4.9913 (4.9964)	Loss2 0.1957 (0.1892)	Prec@1 6.250 (1.947)	Prec@5 9.375 (9.550)
Test: [360/361]	Time 0.893 (0.364)	Loss 5.1871 (4.9934)	Loss1 5.1871 (4.9934)	Loss2 0.1312 (0.1891)	Prec@1 0.000 (1.944)	Prec@5 0.000 (9.469)
Testing Results: Prec@1 1.944 Prec@5 9.469 Loss 4.99337 Loss1 4.99337 Loss2 0.18909
Best Prec@1: 1.944

Epoch: [1][0/2688], lr: 0.01000	Time 4.233 (4.233)	Data 2.748 (2.748)	Loss 4.6831 (4.6831)	Prec@1 6.250 (6.250)	Prec@5 37.500 (37.500)
Epoch: [1][40/2688], lr: 0.01000	Time 1.040 (1.164)	Data 0.000 (0.067)	Loss 4.6747 (4.7782)	Prec@1 3.125 (3.125)	Prec@5 9.375 (13.338)
Epoch: [1][80/2688], lr: 0.01000	Time 1.039 (1.119)	Data 0.000 (0.034)	Loss 4.8178 (4.7893)	Prec@1 3.125 (2.855)	Prec@5 6.250 (12.500)
Epoch: [1][120/2688], lr: 0.01000	Time 1.139 (1.104)	Data 0.000 (0.023)	Loss 4.7687 (4.7891)	Prec@1 3.125 (2.996)	Prec@5 21.875 (12.500)
Epoch: [1][160/2688], lr: 0.01000	Time 1.103 (1.096)	Data 0.000 (0.017)	Loss 5.0020 (4.7886)	Prec@1 0.000 (2.814)	Prec@5 3.125 (12.500)
Epoch: [1][200/2688], lr: 0.01000	Time 1.044 (1.092)	Data 0.000 (0.014)	Loss 4.7838 (4.7875)	Prec@1 6.250 (2.970)	Prec@5 12.500 (12.422)
Epoch: [1][240/2688], lr: 0.01000	Time 1.103 (1.090)	Data 0.000 (0.012)	Loss 4.6414 (4.7810)	Prec@1 9.375 (3.345)	Prec@5 21.875 (12.746)
Epoch: [1][280/2688], lr: 0.01000	Time 1.080 (1.093)	Data 0.000 (0.010)	Loss 4.5186 (4.7767)	Prec@1 6.250 (3.425)	Prec@5 12.500 (12.956)
Epoch: [1][320/2688], lr: 0.01000	Time 1.085 (1.096)	Data 0.000 (0.009)	Loss 4.8940 (4.7790)	Prec@1 3.125 (3.388)	Prec@5 9.375 (12.870)
Epoch: [1][360/2688], lr: 0.01000	Time 1.207 (1.098)	Data 0.000 (0.008)	Loss 5.0166 (4.7811)	Prec@1 3.125 (3.333)	Prec@5 9.375 (12.881)
Epoch: [1][400/2688], lr: 0.01000	Time 1.077 (1.099)	Data 0.000 (0.007)	Loss 4.8735 (4.7777)	Prec@1 0.000 (3.343)	Prec@5 3.125 (12.960)
Epoch: [1][440/2688], lr: 0.01000	Time 1.122 (1.101)	Data 0.000 (0.006)	Loss 4.9849 (4.7750)	Prec@1 0.000 (3.444)	Prec@5 15.625 (13.124)
Epoch: [1][480/2688], lr: 0.01000	Time 1.099 (1.102)	Data 0.000 (0.006)	Loss 4.7392 (4.7754)	Prec@1 3.125 (3.417)	Prec@5 15.625 (12.955)
Epoch: [1][520/2688], lr: 0.01000	Time 1.090 (1.103)	Data 0.000 (0.006)	Loss 4.8839 (4.7722)	Prec@1 3.125 (3.425)	Prec@5 12.500 (12.920)
Epoch: [1][560/2688], lr: 0.01000	Time 1.136 (1.104)	Data 0.000 (0.005)	Loss 5.0859 (4.7699)	Prec@1 0.000 (3.487)	Prec@5 12.500 (12.918)
Epoch: [1][600/2688], lr: 0.01000	Time 1.098 (1.104)	Data 0.000 (0.005)	Loss 4.6133 (4.7646)	Prec@1 0.000 (3.468)	Prec@5 12.500 (13.025)
Epoch: [1][640/2688], lr: 0.01000	Time 1.148 (1.105)	Data 0.000 (0.005)	Loss 4.5720 (4.7625)	Prec@1 6.250 (3.471)	Prec@5 15.625 (13.095)
Epoch: [1][680/2688], lr: 0.01000	Time 1.141 (1.106)	Data 0.000 (0.004)	Loss 4.7190 (4.7614)	Prec@1 0.000 (3.455)	Prec@5 6.250 (13.170)
